no,id,item,generator,condition,assertion,judge_reason,p2_reason,auditor_verdict,auditor_note
P4-15,PR_gem_terse_H03_s1#0,H03,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: uniqueTag, exact: true })).toBeVisible()",點選標籤篩選後確認該標籤按鈕維持可見，驗收要求與 Gherkin 均未提及標籤選取狀態或標籤按鈕的可見性。,公開契約中要求標籤分頁以鏈結/導覽（.nav-link 或 a）呈現，而非特定名為 tag 的 button 元素可見性斷言。,,
P4-16,PR_gem_terse_H03_s1#1,H03,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: 'Page 1 is your current page' })).toBeVisible()",驗收要求與 Gherkin 均未明確斷言篩選後第一頁分頁按鈕的當前選中可見狀態（Page 1 is your current page）。,公開契約中要求的分頁按鈕格式為 .page-item.active 配合 .page-link 或包含數字文本，從未規範或測試 'Page 1 is your current page' 的 accessible name 或 aria-label。,,
P4-17,PR_gem_terse_H03_s3#1,H03,gemini-3.8-flash,concise,await expect(page).toHaveURL(new RegExp(`tag=${tag}`)),驗收要求與 Gherkin 僅在分頁換頁後主張網址跟著變，未要求以標籤篩選時 URL 必須帶有 tag 參數。,公開契約中前端標籤篩選的路由定義為 /tag/:tag 或 /tag/:tag?page=N，而非以 query 參數 tag=${tag} 形式表示。,,
P4-18,PR_gem_terse_H04_s1#6,H04,gemini-3.8-flash,concise,await expect(page.getByText('Articles not available.')).toBeVisible(),驗收要求與 Gherkin 僅要求取消追蹤後 Your Feed 回到原本的樣子（看不到該文章），但未具體規範空列表需顯示 'Articles not available.' 字樣。,公開契約中僅有 .empty-feed-message 需包含 'Your feed is empty'（或一般稱 No articles here），並無任何要求或測試斷言為 'Articles not available.'。,,
P4-19,PR_gem_terse_S02_s1#1,S02,gemini-3.8-flash,concise,await expect(page).toHaveURL(/#\/register/),驗收要求與 Gherkin 僅要求「第二次註冊不會成功」，未具體規定頁面 URL 必須停留在 /#/register。,公開契約中未要求或測試註冊失敗時 URL 必須維持在包含 hash 路由的 /#/register。,,
P4-20,PR_gem_terse_S02_s2#0,S02,gemini-3.8-flash,concise,await expect(page).toHaveURL(/#\/register/),驗收要求與 Gherkin 僅說明第二次註冊不會成功，並未具體規定頁面必須停留在 /#/register，但此行為可由標準 SPA 註冊失敗流程推出。,公開材料中定義的路由為 '/register' 而非包含 hash 的 '/#/register'，且未規範註冊失敗時必須保持在特定 URL 模式。,,
P4-21,PR_gem_terse_S12_s1#1,S12,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: 'Page 2 is your current page' })).toBeVisible()",驗收要求與 Gherkin 僅要求換頁後看到不一樣的文章，未主張分頁按鈕需顯示為目前頁面狀態。,公開契約中要求分頁按鈕使用 .page-item.active 樣式或連結文字，從未規範或測試過名為 'Page 2 is your current page' 的無障礙名稱或文字按鈕。,,
P4-22,PR_gem_terse_S12_s2#3,S12,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: 'Page 2 is your current page' })).toBeVisible()",驗收要求與 Gherkin 僅要求換頁後看到不同的文章，並未要求分頁按鈕需處於當前頁（current page）狀態。,公開契約中要求分頁項使用 active 類別（.page-item.active），完全未提及或測試按鈕需要具備 'Page 2 is your current page' 的 accessible name 或 aria 標籤。,,
P4-23,PR_gem_terse_S12_s3#2,S12,gemini-3.8-flash,concise,"await expect(page2Button).toHaveAttribute('aria-current', 'page').catch(async () => { // 若沒有 aria-current，確保第 1 頁與第 2 頁文章內容有所變更 })",驗收要求與 Gherkin 僅要求換頁後看到不同的文章，並未要求分頁按鈕必須具備 aria-current 屬性。,公開契約與 E2E 規格中僅約定使用 .page-item.active 樣式類表示分頁啟動狀態，未要求或測試 aria-current='page' 屬性。,,
P4-24,PR_terra_precise_H03_s1#12,H03,gpt-5.6-terra,precise,await expect(articlePreviews).toHaveCount(10),驗收要求只說明切回全部文章時回到第一頁且每頁筆數以預設為準，未直接或在 Gherkin 中明訂切回後的全局文章數量為 10 篇，但 10 篇符合 Conduit 公開預設分頁大小。,公開材料僅在切回 Global Feed 時驗證 URL 回到根路徑與預覽存在（url-navigation.spec.ts:227-231），並未明文要求或斷言切回 Global Feed 後文章數量必須恰好為 10 篇。,,
P4-25,PR_terra_precise_H03_s2#1,H03,gpt-5.6-terra,precise,await expect(page).toHaveURL(new RegExp(`#/\\?tag=${encodeURIComponent(tag)}`)),驗收要求與 Gherkin 僅在第 2 頁時要求網址反映頁碼，並未主張點選標籤篩選當下網址需帶有 tag 參數。,公開契約與路由規範中標籤篩選網址為 /tag/:tag（見 routing.md 與 SELECTORS.md），並未規定或測試 hash-based 的 #/?tag= 路由格式。,,
P4-26,PR_terra_precise_H03_s2#11,H03,gpt-5.6-terra,precise,await expect(page).toHaveURL(new RegExp('#/$')),驗收要求與 Gherkin 僅要求切回全部文章時回到第一頁，並未具體規定 URL 必須變為 '#/$'。,公開契約與官方測試僅約定 URL 為 '/'，完全沒有提及或要求包含 Hash 路由符號 '#/$'。,,
P4-27,PR_terra_precise_H03_s2#12,H03,gpt-5.6-terra,precise,await expect(articlePreviews).toHaveCount(10),驗收要求與 Gherkin 僅要求「切回全部文章時回到第一頁」，未具體約定全部文章列表中第一頁的文章數量為 10 篇。,公開材料中切換回 Global Feed 時僅驗證網址重設為根路徑及文章載入，並未明確斷言在切回 Global Feed 後文章預覽數量必須恰好為 10 筆。,,
P4-28,PR_terra_precise_H03_s3#2,H03,gpt-5.6-terra,precise,await expect(page).toHaveURL(new RegExp(`#/\\?tag=${encodeURIComponent(tag)}`)),驗收要求與 Gherkin 僅要求第 2 頁時網址反映頁碼，並未要求在篩選標籤當下驗證網址帶有 tag 參數。,公開材料中定義的標籤路由為 `/tag/:tag`，未規定或測試 `/#/?tag=...` 這種 hash-based 路由格式。,,
P4-29,PR_terra_precise_H03_s3#11,H03,gpt-5.6-terra,precise,"await expect(page).toHaveURL(new RegExp(`${UI.replace(/[.*+?^${}()|[\]\\]/g, '\\$&')}/#/$`))",驗收要求與 Gherkin 僅要求切回全部文章時「回到第一頁」（列表重設為第一頁），並未要求檢查 URL 是否嚴格為根路徑 /#/$。,公開材料中定義的首頁路由為 '/'（如 url-navigation.spec.ts 第 228-229 行切換回 Global Feed 時預期 URL 為 '/'），並無任何要求或測試使用包含 Hash 路由 '/#/' 的 URL。,,
P4-30,PR_terra_precise_S12_s1#2,S12,gpt-5.6-terra,precise,await expect(pageTwo).toHaveClass(/active/),驗收要求與 Gherkin 僅要求顯示接續文章，未要求分頁按鈕需具備 active 樣式類別。,契約（SELECTORS.md 及 url-navigation.spec.ts）明確規定 active 樣式類別是套用在分頁項目包裝元素 .page-item 上，而非直接套用在 pageTwo 連結本身。,,
P4-31,PR_terra_precise_S12_s1#3,S12,gpt-5.6-terra,precise,await expect(articlePreviews).toHaveCount(2),驗收要求與 Gherkin 僅要求顯示接續的文章，未規定第 2 頁的文章預覽數量必須恰好為 2 篇。,公開契約中僅有一般分頁機制或特定測試資料集的分頁數量驗證，並未規定或測試點選第 2 頁時文章數量必須恰好為 2 篇。,,
P4-32,PR_terra_precise_S12_s2#2,S12,gpt-5.6-terra,precise,await expect(articlePreviews).toHaveCount(2),驗收要求與 Gherkin 僅要求顯示接續的文章，未規定第 2 頁的文章筆數必須為 2 篇。,公開契約中僅測試點擊分頁後切換頁面或特定標籤下的文章數量，並未規定或測試首頁點擊第 2 頁時文章預覽的數量必須剛好為 2。,,
P4-33,PR_terra_precise_S12_s3#3,S12,gpt-5.6-terra,precise,await expect(articlePreviews).toHaveCount(2),驗收要求與 Gherkin 僅要求顯示接續的文章，未規定接續文章的確切數量為 2 篇。,公開材料中並無規定或測試點選第 2 頁後首頁文章列表的特定數量必須恰好為 2 篇。,,
P4-34,PR_terra_terse_H02_s1#15,H02,gpt-5.6-terra,concise,"await expect(visitorCommentCard.getByText(visitor.username, { exact: true })).toBeVisible()",驗收要求與 Gherkin 僅概括提及不同身分所見與操作不同，未明確要求留言卡片上必須顯示使用者名稱。,公開契約中未明確規範或測試留言卡片內必須顯示留言者的 username 文字。,,
P4-35,PR_terra_terse_H02_s1#16,H02,gpt-5.6-terra,concise,"await expect( visitorCommentCard.getByRole('button', { name: /delete comment/i }), ).toBeVisible()",驗收要求與 Gherkin 僅籠統提及不同身分看到與可做的操作不同，未具體提及刪除留言按鈕的存在與可見性，但此為 Conduit 留言作者權限的標準公開行為。,公開材料中刪除留言按鈕是 .mod-options 下的圖示 (.ion-trash-a)，契約並未規定其為可透過 Accessible Name 'Delete Comment' 定位的 button 元素。,,
P4-36,PR_terra_terse_H02_s2#4,H02,gpt-5.6-terra,concise,"await expect( page.getByText('Sign in or sign up to add comments on this article.'), ).toBeVisible()",驗收要求與 Gherkin 僅抽象提及訪客應看到符合未登入狀態的內容，未具體提及該提示字串，但符合 Conduit 官方規格。,公開契約與 E2E 測試僅要求未登入時看到 sign in/sign up 連結（a[href='/login']）或不顯示留言表單，並未規定或測試出現 'Sign in or sign up to add comments on this article.' 這段特定文字。,,
P4-37,PR_terra_terse_H02_s2#17,H02,gpt-5.6-terra,concise,"await expect( otherCommentCard.getByRole('button', { name: /delete comment/i }), ).toBeVisible()",驗收要求與 Gherkin 僅抽象描述不同身分看到和可做的操作不一樣，未明確指出使用者對自己留的留言應可見刪除按鈕。,公開契約中刪除留言按鈕是透過圖示或特定 class/icon（如 ion-trash-a、.mod-options）定義，沒有任何地方規定或測試其為 Accessible Name 為 'delete comment' 的 button 角色。,,
P4-38,PR_terra_terse_H02_s3#2,H02,gpt-5.6-terra,concise,await expect(page.getByText(article.description)).toBeVisible(),驗收要求與 Gherkin 僅概括提及「不同身分在同一頁看到的東西不一樣」，未具體要求檢查文章簡介（description）的可見性。,公開契約的 Article 頁面模板與相關測試中並未規定或測試文章內頁（/article/:slug）需顯示 article.description（僅在列表 preview 與編輯頁出現）。,,
P4-39,PR_terra_terse_H02_s3#4,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('link', { name: /sign in or sign up to add comments/i }), ).toBeVisible()",驗收要求與 Gherkin 僅抽象提及『不同身分在同一頁看到的東西不一樣』，未具體提及未登入時會顯示『sign in or sign up to add comments』連結，但符合 RealWorld Conduit 規格。,公開契約與 E2E 測試中未要求或測試未登入訪客在文章頁需看到包含 'sign in or sign up to add comments' 文字的連結。,,
P4-40,PR_terra_terse_H02_s3#9,H02,gpt-5.6-terra,concise,"await expect( page.getByText('Comment written by the article author.'), ).toBeVisible()",驗收要求與 Gherkin 僅抽象提及『不同身分看到的東西不一樣』，未具體規範作者留下的留言內容在此角色下應可見。,公開材料中未規定或測試在切換至另一位登入使用者存取文章頁時，必須看到特定內容為「Comment written by the article author.」的留言文本可見性。,,
P4-41,PR_terra_terse_H02_s3#11,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('link', { name: /sign in or sign up to add comments/i }), ).toHaveCount(0)",驗收要求與 Gherkin 僅抽象提及『不同身分看到的東西不一樣』，未具體規範登入使用者不應看到登入註冊提示連結。,公開材料中未規定或測試已登入使用者在文章頁時畫面不得出現名為 'sign in or sign up to add comments' 的連結。,,
P4-42,PR_terra_terse_H03_s1#1,H03,gpt-5.6-terra,concise,await expect(page).toHaveURL(new RegExp(`#/?\\?tag=${tag}`)),驗收要求與 Gherkin 僅在分頁點選後要求網址跟著變，未要求以標籤篩選當下 URL 必須立即帶有 tag 查詢參數。,公開契約中規範與測試的標籤路由為 '/tag/:tag'（如 SELECTORS.md 行 148 與 url-navigation.spec.ts），未要求或測試 '#/?tag=' 這種 Hash 路由形式。,,
P4-43,PR_terra_terse_H03_s1#3,H03,gpt-5.6-terra,concise,await expect(articlePreviews.first()).toContainText('Pagination article 15'),驗收要求與 Gherkin 僅要求換頁後看得到後續文章，未具體規範第一頁第一篇文章的標題名稱為 Pagination article 15。,公開契約與 E2E 測試中僅驗證標籤篩選分頁的數量與分頁 URL 變化，並未規範或斷言第一筆文章預覽必須包含特定文字 'Pagination article 15'。,,
P4-44,PR_terra_terse_H03_s1#11,H03,gpt-5.6-terra,concise,await expect(page).toHaveURL(/#\/?$/),驗收要求與 Gherkin 僅在第 3 步點選分頁時提到網址跟著變，但在第 5 步切回全部文章列表時並未規範網址應變回首頁/#/。,公開契約與 E2E 測試皆規範切換至 Global Feed 時 URL 應為 '/'，並未要求或測試以 Hash 路由形式（/#/?$）呈現。,,
P4-45,PR_terra_terse_H03_s1#12,H03,gpt-5.6-terra,concise,await expect(articlePreviews).toHaveCount(10),驗收要求只寫『每頁筆數以產品預設為準』但未明定每頁應有10篇，兩處文本皆未支持數量剛好為10篇的斷言，需依賴 Conduit 預設規格 (P2)。,公開契約與測試中未規定或斷言切回 Global Feed 後文章預覽數量必須恰好為 10 筆。,,
P4-46,PR_terra_terse_H03_s2#1,H03,gpt-5.6-terra,concise,await expect(page).toHaveURL(new RegExp(`#/?\\?tag=${encodeURIComponent(tag)}|#/?tag=${encodeURIComponent(tag)}`)),驗收要求與 Gherkin 僅在分頁換頁後主張網址跟著變，未要求以標籤篩選時網址必須包含 tag 參數。,公開契約中規範的標籤篩選路由為 `/tag/:tag`，並未提及或測試 hash routing (`#/?tag=` 或 `#/?\?tag=`) 的 URL 格式。,,
P4-47,PR_terra_terse_H03_s3#1,H03,gpt-5.6-terra,concise,await expect(page).toHaveURL(new RegExp(`#/\\?tag=${encodeURIComponent(tag)}`)),驗收要求與 Gherkin 僅要求分頁換頁後網址跟著變，未要求以標籤篩選當下的特定 URL query 結構。,官方契約規範之標籤路由為 `/tag/:tag`（如 specs/e2e/SELECTORS.md 第 148 行與 url-navigation.spec.ts 第 39-50 行），未規範亦未測試以 hash 查詢參數 `#/\?tag=...` 呈現標籤篩選的 URL 行為。,,
P4-48,PR_terra_terse_H03_s3#17,H03,gpt-5.6-terra,concise,await expect(page.getByText(articles[10].title)).toBeVisible(),驗收要求與 Gherkin 僅要求切回全部文章後分頁符合設定，未具體規範切回全域列表（預設每頁 10 筆）時第 11 篇（index 10）文章是否應同時可見。,公開材料中並未規定切回 Global Feed 後第 11 篇（index 10）特定文章必須可見（預設每頁筆數可能為 10 或 20，且文章排序亦未保證特定順序可見）。,,
P4-49,PR_terra_terse_S03_s1#2,S03,gpt-5.6-terra,concise,await expect(page.locator('.error-messages')).toContainText(/email or password is invalid/i),驗收要求與 Gherkin 僅要求「畫面會告知」，未具體規定錯誤訊息文字為 email or password is invalid，屬於 RealWorld API/Conduit 規範細節。,公開契約的 E2E 測試僅驗證 .error-messages 可見，API 規格僅定義錯誤格式與狀態碼，未規範前端畫面必須包含特定字串 'email or password is invalid'。,,
P4-50,PR_terra_terse_S03_s2#2,S03,gpt-5.6-terra,concise,await expect(page.locator('.error-messages')).toContainText(/email or password is invalid/i),驗收要求與 Gherkin 僅要求「畫面會告知」，未具體規定錯誤訊息文字為 email or password is invalid，但可由 RealWorld 規範推出。,公開材料中 specs/e2e/auth.spec.ts 僅斷言 .error-messages 可見，API 錯誤規範為 credentials invalid，並未要求頁面錯誤訊息必須包含 'email or password is invalid' 文字。,,
P4-51,PR_terra_terse_S09_s2#7,S09,gpt-5.6-terra,concise,await expect(page.getByText('Comment written by user A')).toBeVisible(),驗收要求與 Gherkin 僅規範「留言的刪除只有自己的留言做得到」，並未要求驗證刪除使用者 B 的留言後使用者 A 的留言仍可見。,公開契約中僅有 API 層級驗證刪除一則留言後另一則保留（specs/api/hurl/comments.hurl），未在前端 E2E 測試或規格中定義或測試使用者刪除自己的留言後其他人的留言仍維持可見的可觀測行為。,,
P4-52,PR_terra_terse_S12_s1#2,S12,gpt-5.6-terra,concise,await expect(page).toHaveURL(/#\/\?page=2/),驗收要求與 Gherkin 僅要求換頁後看到不同的文章，並未規定 URL 路由或 query string 的變化形式。,公開材料中規範的分頁路由格式為 /?page=N（如 specs/e2e/SELECTORS.md 第 147 行及 specs/e2e/url-navigation.spec.ts），並未規範或提及使用 Hash 路由的 /#/?page=2。,,
P4-53,PR_terra_terse_S12_s1#3,S12,gpt-5.6-terra,concise,await expect(articlePreviews).toHaveCount(1),驗收要求與 Gherkin 僅要求換頁後看到不一樣的文章，並未規範第 2 頁的文章預覽數量必須為 1 篇。,公開材料中未規定點選第 2 頁時文章列表預覽數量必須恰好為 1。,,
P4-54,PR_terra_terse_S12_s3#2,S12,gpt-5.6-terra,concise,await expect(page).toHaveURL(/[#/]\/?\?offset=10/),驗收要求與 Gherkin 僅主張換頁後看到不一樣的文章，未提及網址需帶有特定 query 參數（offset=10）。,公開規格與測試中分頁的 URL 參數規定為 ?page=N，從未要求使用 ?offset=10 作為前端網址參數。,,
P4-55,PR_terra_terse_S12_s3#3,S12,gpt-5.6-terra,concise,await expect(articlePreviews).toHaveCount(2),驗收要求與 Gherkin 僅要求換頁後看到不一樣的文章，未規範第二頁文章的具體數量必須為 2 篇。,公開材料中未規定首頁分頁後第二頁必須恰好顯示 2 篇文章（僅在特定自定義標籤測試中有 5 篇或 API Hurl 範例中的不同筆數，但無首頁第二頁 count 為 2 的要求）。,,
