no,id,item,generator,condition,assertion,file,line_start,line_end,commit,quote,why,auditor_verdict,auditor_note
P2-025,PR_gem_terse_H02_s1#17,H02,gemini-3.8-flash,concise,await expect(page.getByText(readerCommentText)).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",E2E 規格明確測試了使用者在文章頁發表留言後，該留言內容在頁面上可見。,,
P2-026,PR_gem_terse_H02_s1#18,H02,gemini-3.8-flash,concise,"await expect(readerCard.locator('i.ion-trash-a, .mod-options')).toBeVisible()",specs/e2e/comments.spec.ts,136,138,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Verify the delete button IS visible for OUR comment
    const ownComment = page.locator('.card', { has: page.locator(`text=""${commentText}""`) });
    await expect(ownComment.locator('span.mod-options i.ion-trash-a')).toBeVisible();",E2E 測試明確驗證了登入使用者在發表留言後，自己留言卡片上的刪除圖示（.mod-options / ion-trash-a）必須可見。,,
P2-027,PR_gem_terse_H02_s1#19,H02,gemini-3.8-flash,concise,"await expect(authorCard.locator('i.ion-trash-a, .mod-options')).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,   - Delete comment button (only shown to comment's author),規格明確規定文章頁上的刪除留言按鈕僅對該留言作者顯示，因此非作者（讀者）看作者留言時不得出現刪除按鈕。,,
P2-028,PR_gem_terse_H02_s2#2,H02,gemini-3.8-flash,concise,await expect(page.getByText(authorCommentText)).toBeVisible(),docs/src/content/docs/specifications/frontend/routing.md,14,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)
  - Render markdown from server client side
  - Comments section at bottom of page
  - Delete comment button (only shown to comment's author)",規格明確要求文章頁面底部包含留言區，訪客開啟文章頁面時應可觀測到該留言區內容。,,
P2-029,PR_gem_terse_H02_s2#3,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('link', { name: /Edit Article/i })).not.toBeVisible()",specs/e2e/articles.spec.ts,300,302,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();",E2E 測試明確斷言非作者使用者造訪文章頁時，不可看見 Edit Article 連結與 Delete Article 按鈕。,,
P2-030,PR_gem_terse_H02_s2#4,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: /Delete Article/i })).not.toBeVisible()",docs/src/content/docs/specifications/frontend/routing.md,14,15,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)",契約明確規定文章頁的 Delete article button 僅在身分為作者時顯示，因此訪客開啟該頁不可見。,,
P2-031,PR_gem_terse_H02_s2#5,H02,gemini-3.8-flash,concise,await expect(page.getByPlaceholder('Write a comment...')).not.toBeVisible(),specs/e2e/comments.spec.ts,102,113,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should require login to post comment', async ({ page, browser }) => {
    // Create a new context without authentication (not sharing cookies with page)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    // Visit the article and wait for navigation
    await page2.goto(page.url(), { waitUntil: 'load' });
    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();
    await context2.close();
  });","測試明確驗證未登入訪客造訪文章頁時，留言輸入框 textarea[placeholder=""Write a comment...""] 不可見。",,
P2-032,PR_gem_terse_H02_s2#6,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('link', { name: 'Sign in', exact: true })).toBeVisible()",specs/e2e/comments.spec.ts,108,112,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();",E2E 測試明確斷言未登入訪客訪問文章頁時，留言區不顯示輸入框，且可見 Sign in 連結。,,
P2-033,PR_gem_terse_H02_s2#7,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('link', { name: 'Sign up', exact: true })).toBeVisible()",docs/src/content/docs/specifications/frontend/templates.md,36,41,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"If no user is logged in, then the header should include links to:

- the home page
- the login page
- the register page",前端模板規範明確指出未登入使用者在 header 中應看到前往註冊頁（Sign up / register page）的連結。,,
P2-034,PR_gem_terse_H02_s2#8,H02,gemini-3.8-flash,concise,await expect(page.getByText(article.body)).toBeVisible(),specs/e2e/articles.spec.ts,38,42,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should be on article page
    await expect(page).toHaveURL(/\/article\/.+/);

    // Should show article content
    await expect(page.locator('h1')).toHaveText(article.title);
    await expect(page.locator('.article-content p')).toContainText(article.body);",E2E 測試明確斷言進入文章頁面後，應能在畫面上看到該文章的 body 內文。,,
P2-035,PR_gem_terse_H02_s2#9,H02,gemini-3.8-flash,concise,await expect(page.getByText(authorCommentText)).toBeVisible(),specs/e2e/comments.spec.ts,126,139,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Check if there are any existing comments (from other users like johndoe)
    const existingCommentsCount = await page.locator('.card:not(.comment-form)').count();
    // If there are existing comments, they should NOT have delete buttons (not our comments)
    if (existingCommentsCount > 0) {
      const firstExistingComment = page.locator('.card:not(.comment-form)').first();
      await expect(firstExistingComment.locator('span.mod-options i.ion-trash-a')).not.toBeVisible();
    }
    // Now add our own comment
    const commentText = `Comment by logged in user ${Date.now()}`;
    await addComment(page, commentText);
    // Verify the delete button IS visible for OUR comment
    const ownComment = page.locator('.card', { has: page.locator(`text=""${commentText}""`) });
    await expect(ownComment.locator('span.mod-options i.ion-trash-a')).toBeVisible();",合約明確測試了當使用者造訪非自己所寫的文章時，其他使用者的既有留言依然可在頁面上被看見（存在於 DOM 中）。,,
P2-036,PR_gem_terse_H02_s2#10,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('link', { name: /Edit Article/i })).not.toBeVisible()",specs/e2e/articles.spec.ts,297,302,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();",E2E 測試明確規範非文章作者訪問文章頁時，不應看到「Edit Article」連結。,,
P2-037,PR_gem_terse_H02_s2#11,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: /Delete Article/i })).not.toBeVisible()",specs/e2e/articles.spec.ts,282,304,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should only allow author to edit/delete article', async ({ page, browser }) => {
    const article = generateUniqueArticle();

    // Create article as first user
    await createArticle(page, article);

    // Get article URL
    const articleUrl = page.url();

    // Create a second user in new context (not sharing cookies with first user)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    const user2 = generateUniqueUser();
    await register(page2, user2.username, user2.email, user2.password);

    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();

    await context2.close();
  });",E2E 測試明確驗證非文章作者的使用者瀏覽該文章頁面時，畫面上不應看見 Delete Article 按鈕。,,
P2-038,PR_gem_terse_H02_s2#12,H02,gemini-3.8-flash,concise,await expect(commentInput).toBeVisible(),specs/e2e/comments.spec.ts,108,112,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();","E2E 測試驗證未登入時看不到留言框 textarea[placeholder=""Write a comment...""]，而登入使用者可見留言輸入框。",,
P2-039,PR_gem_terse_H02_s2#13,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: 'Post Comment' })).toBeVisible()",specs/e2e/SELECTORS.md,113,115,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"| Text                      | Element  | Context                  |
| ------------------------- | -------- | ------------------------ |
| `Post Comment`            | `button` | Article detail           |",SELECTORS.md 明確規定在文章詳細頁（Article detail）存在按鈕文字為 'Post Comment' 的 button 元件。,,
P2-040,PR_gem_terse_H02_s2#14,H02,gemini-3.8-flash,concise,await expect(page.getByText(authorCommentText)).toBeVisible(),specs/e2e/comments.spec.ts,86,96,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should display multiple comments', async ({ page }) => {
    const comment1 = 'First comment';
    const comment2 = 'Second comment';
    const comment3 = 'Third comment';
    await addComment(page, comment1);
    await addComment(page, comment2);
    await addComment(page, comment3);
    // All comments should be visible (exclude comment form)
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${comment1}"")`)).toBeVisible();
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${comment2}"")`)).toBeVisible();
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${comment3}"")`)).toBeVisible();",官方 E2E 測試明確驗證文章頁面在發表多則留言後，先前發表的留言內容依舊維持可見（toBeVisible）。,,
P2-041,PR_gem_terse_H02_s2#15,H02,gemini-3.8-flash,concise,await expect(page.getByText(readerCommentText)).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",E2E 測試明確驗證了在文章頁發表留言後，該留言內容在頁面上應為可見。,,
P2-042,PR_gem_terse_H02_s2#16,H02,gemini-3.8-flash,concise,"await expect(readerCommentCard.locator('.mod-options i, .ion-trash-a')).toBeVisible()",specs/e2e/comments.spec.ts,136,138,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Verify the delete button IS visible for OUR comment
    const ownComment = page.locator('.card', { has: page.locator(`text=""${commentText}""`) });
    await expect(ownComment.locator('span.mod-options i.ion-trash-a')).toBeVisible();",官方 E2E 測試明確驗證了登入使用者在文章頁上對自己所發表的留言，其刪除圖示按鈕（mod-options 下的 ion-trash-a）必須可見。,,
P2-043,PR_gem_terse_H02_s2#17,H02,gemini-3.8-flash,concise,"await expect(authorCommentCard.locator('.mod-options i, .ion-trash-a')).not.toBeVisible()",docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,- Delete comment button (only shown to comment's author),規格明確規定留言刪除按鈕只會顯示給該留言的作者，非留言作者不應看到該留言的刪除按鈕。,,
P2-044,PR_gem_terse_H02_s3#1,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: /Delete Article/i })).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,14,15,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)",路由規範明確指出文章頁的 Delete article button 僅對文章作者顯示，非作者與未登入訪客皆不可見。,,
P2-045,PR_gem_terse_H02_s3#2,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('link', { name: /Edit Article/i })).toHaveCount(0)",specs/e2e/articles.spec.ts,282,303,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should only allow author to edit/delete article', async ({ page, browser }) => {
    const article = generateUniqueArticle();

    // Create article as first user
    await createArticle(page, article);

    // Get article URL
    const articleUrl = page.url();

    // Create a second user in new context (not sharing cookies with first user)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    const user2 = generateUniqueUser();
    await register(page2, user2.username, user2.email, user2.password);

    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();",E2E 測試明確規範非文章作者訪問文章頁時不得看到「Edit Article」連結按鈕。,,
